Date,US Dollar,Pound Sterling,Euro,Japanese Yen
20-May-20,75.6712,92.6432,82.806,70.21
19-May-20,75.6638,92.5853,82.6819,70.44
18-May-20,75.9345,91.9542,82.191,70.84
15-May-20,75.5634,92.2604,81.6548,70.48
14-May-20,75.444,91.9853,81.5037,70.64
13-May-20,75.3885,92.6153,81.8222,70.37
12-May-20,75.7944,93.4024,81.956,70.52
11-May-20,75.6838,93.9867,82.0549,70.78
8-May-20,75.4411,93.4967,81.7983,70.93
6-May-20,75.6911,94.0967,81.9765,71.16
5-May-20,75.5715,94.217,82.4626,70.84
4-May-20,75.7902,94.2103,82.8351,70.99
30-Apr-20,75.115,93.5923,81.617,70.48
29-Apr-20,75.6961,94.3567,82.1202,71.04
28-Apr-20,76.371,94.7774,82.5927,71.23
27-Apr-20,76.1269,94.7348,82.6241,71.03
24-Apr-20,76.4173,94.22,82.2113,71
23-Apr-20,76.0635,93.9886,82.3129,70.55
22-Apr-20,76.8084,94.5117,83.3832,71.41
21-Apr-20,76.6516,95.1354,83.0878,71.31
20-Apr-20,76.6335,95.4894,83.1719,71.05
17-Apr-20,76.5444,95.4657,83.0542,71.04
16-Apr-20,76.7408,95.9853,83.6541,71.22
15-Apr-20,76.2743,95.9754,83.6012,71.23
13-Apr-20,76.3617,95.3681,83.5657,70.8
9-Apr-20,76.4577,94.542,82.9153,70.18
8-Apr-20,76.0867,93.5724,82.4699,69.88
7-Apr-20,75.8438,93.1685,82.1328,69.68
3-Apr-20,75.8276,93.8816,82.2168,70.27
31-Mar-20,75.3859,93.076,83.0496,69.65
30-Mar-20,75.3451,93.3671,83.4588,69.84
27-Mar-20,74.8434,91.5604,82.6411,68.89
26-Mar-20,75.2392,89.0185,82.0483,67.98
24-Mar-20,76.1522,88.5046,82.1119,68.98
23-Mar-20,75.8814,88.7595,81.5432,69.04
20-Mar-20,75.0063,87.4203,80.6458,68.19
19-Mar-20,75.0583,86.6248,82.0317,69.06
18-Mar-20,74.1727,89.7594,81.721,69.39
17-Mar-20,74.0309,90.5368,82.6585,69.5
16-Mar-20,74.2723,91.6827,82.7027,69.82
13-Mar-20,74.0694,93.003,82.9577,70.21
12-Mar-20,74.1694,94.9947,83.758,71.56
11-Mar-20,73.8128,95.4675,83.7957,70.64
9-Mar-20,73.9538,96.669,84.333,72.06
6-Mar-20,73.6629,95.4377,82.693,69.56
5-Mar-20,73.2824,94.3682,81.6141,68.27
4-Mar-20,73.5603,94.2175,81.9937,68.44
3-Mar-20,72.8733,93.1462,81.2387,67.62
2-Mar-20,72.242,92.7404,79.7605,66.73
28-Feb-20,72.1895,93.0104,79.4421,66.3
27-Feb-20,71.6124,92.6273,78.1692,65.06
26-Feb-20,71.7291,93.1641,77.9796,64.97
25-Feb-20,71.8598,92.9751,78.0067,64.82
24-Feb-20,71.8522,92.9485,77.734,64.4
20-Feb-20,71.5899,92.3958,77.2522,64.21
18-Feb-20,71.4013,92.8193,77.3628,65.04
17-Feb-20,71.4259,93.1737,77.4162,65.02
14-Feb-20,71.3865,93.1289,77.3544,65.03
13-Feb-20,71.4699,92.5626,77.7049,65.09
12-Feb-20,71.258,92.3157,77.7373,64.86
11-Feb-20,71.2291,92,77.7067,64.8
10-Feb-20,71.3046,92.0162,78.1118,64.93
7-Feb-20,71.2476,92.2248,78.228,64.79
6-Feb-20,71.2558,92.5195,78.3804,64.82
5-Feb-20,71.2664,92.7746,78.6544,65.12
4-Feb-20,71.135,92.6021,78.6857,65.36
3-Feb-20,71.5803,94.1954,79.3301,65.96
31-Jan-20,71.5096,93.6614,78.8169,65.58
30-Jan-20,71.4772,93.0209,78.7102,65.62
29-Jan-20,71.1875,92.7174,78.4221,65.24
28-Jan-20,71.3263,93.0918,78.6211,65.41
27-Jan-20,71.3948,93.2473,78.729,65.46
24-Jan-20,71.2404,93.5097,78.6902,65.04
23-Jan-20,71.2437,93.4789,78.9556,65.05
22-Jan-20,71.2056,93.0135,78.9124,64.71
21-Jan-20,71.1825,92.6222,78.9907,64.74
20-Jan-20,71.057,92.3305,78.8766,64.49
17-Jan-20,71.0436,92.9492,79.1374,64.45
16-Jan-20,70.9065,92.4484,79.0485,64.49
15-Jan-20,70.8753,92.3756,78.9097,64.47
14-Jan-20,70.9242,92.139,78.9892,64.43
13-Jan-20,70.8115,92.2598,78.8019,64.59
10-Jan-20,71.1136,93.0583,79.002,64.9
9-Jan-20,71.4221,93.6525,79.3742,65.36
8-Jan-20,72.0178,94.5776,80.3166,66.45
7-Jan-20,71.7764,94.43,80.2805,66.22
6-Jan-20,72.0919,94.289,80.4531,66.74
3-Jan-20,71.6949,93.9891,80.0507,66.32
2-Jan-20,71.3429,94.2535,79.9392,65.61
1-Jan-20,71.3717,94.6413,80.0305,65.69
31-Dec-19,71.274,93.4835,79.883,65.59
30-Dec-19,71.3449,93.5536,79.883,65.37
27-Dec-19,71.2214,92.5532,79.1859,65.04
26-Dec-19,71.2699,92.5549,79.0264,65.05
24-Dec-19,71.1959,92.1522,78.9487,65.07
23-Dec-19,71.1699,92.6613,78.8814,65.04
20-Dec-19,71.1569,92.6164,79.1051,65.09
19-Dec-19,71.0813,92.9995,79.0974,64.86
18-Dec-19,71.0611,93.1284,79.137,64.93
17-Dec-19,70.9687,94.2242,79.1008,64.78
